City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Luderitz,NA,2021-04-25 14:08:34,-26.6481,15.1594,70.05,61,85,7.4,overcast clouds
88,Mogadishu,SO,2021-04-25 14:06:13,2.0371,45.3438,86.0,62,20,9.22,few clouds
89,Ratnagiri,IN,2021-04-25 14:08:34,16.9833,73.3,83.46,75,10,8.95,clear sky
90,Whitehorse,CA,2021-04-25 14:08:35,60.7161,-135.0538,24.8,80,20,1.28,few clouds
91,Taoudenni,ML,2021-04-25 14:08:35,22.6783,-3.9836,105.1,7,0,9.82,clear sky
92,Joroan,PH,2021-04-25 14:08:35,13.4885,123.6189,75.92,86,21,7.31,light rain
93,Vila Velha,BR,2021-04-25 14:08:36,-20.3297,-40.2925,86.0,62,40,10.36,scattered clouds
94,Lavrentiya,RU,2021-04-25 14:03:57,65.5833,-171.0,21.07,88,100,3.91,overcast clouds
95,Borovskoy,KZ,2021-04-25 14:08:36,53.8,64.15,58.87,48,68,12.35,broken clouds
96,Souillac,MU,2021-04-25 14:08:37,-20.5167,57.5167,78.8,78,75,16.11,broken clouds
97,Lompoc,US,2021-04-25 14:06:46,34.6391,-120.4579,48.2,87,100,5.75,overcast clouds
98,Port Lincoln,AU,2021-04-25 14:08:37,-34.7333,135.8667,60.1,68,83,8.46,broken clouds
99,Sault Sainte Marie,CA,2021-04-25 14:05:40,46.5168,-84.3333,30.2,64,90,13.8,overcast clouds
100,Aklavik,CA,2021-04-25 14:08:38,68.2191,-135.0107,15.8,92,76,5.75,broken clouds
101,Ostrovnoy,RU,2021-04-25 14:08:38,68.0531,39.5131,35.65,93,100,16.96,overcast clouds
102,Cherskiy,RU,2021-04-25 14:08:38,68.75,161.3,1.89,97,97,4.63,overcast clouds
103,Changying,CN,2021-04-25 14:08:39,52.8733,123.3213,39.27,65,100,5.39,overcast clouds
104,Shimoda,JP,2021-04-25 14:08:39,34.6667,138.95,61.0,34,29,8.01,scattered clouds
105,Beringovskiy,RU,2021-04-25 14:08:39,63.05,179.3167,31.17,87,100,2.93,overcast clouds
106,Arica,CL,2021-04-25 14:08:40,-18.475,-70.3042,68.0,60,0,2.3,clear sky
107,Tasiilaq,GL,2021-04-25 14:08:41,65.6145,-37.6368,39.2,81,75,10.36,broken clouds
108,Dzhebariki-Khaya,RU,2021-04-25 14:08:41,62.2167,135.8,8.31,96,82,1.77,broken clouds
109,Castro,BR,2021-04-25 14:08:42,-24.7911,-50.0119,69.01,62,99,4.92,overcast clouds
110,Ndele,CF,2021-04-25 14:08:42,8.4109,20.6473,83.25,60,85,1.48,moderate rain
111,Khatanga,RU,2021-04-25 14:08:42,71.9667,102.5,12.81,87,100,23.69,light snow
112,Cairns,AU,2021-04-25 14:08:43,-16.9167,145.7667,75.2,94,75,9.22,light rain
113,Baiquan,CN,2021-04-25 14:08:43,47.5833,126.0833,48.15,35,46,5.06,scattered clouds
114,Quatre Cocos,MU,2021-04-25 14:08:43,-20.2078,57.7625,78.8,78,75,16.11,light rain
115,Longyearbyen,SJ,2021-04-25 14:08:44,78.2186,15.6401,23.0,80,40,12.66,scattered clouds
116,Kalmunai,LK,2021-04-25 14:08:44,7.4167,81.8167,81.41,67,19,7.81,few clouds
117,Codrington,AU,2021-04-25 14:08:45,-38.2667,141.9667,50.61,92,3,6.4,clear sky
118,East London,ZA,2021-04-25 14:06:33,-33.0153,27.9116,73.4,60,0,8.05,clear sky
119,Coihaique,CL,2021-04-25 14:08:45,-45.5752,-72.0662,48.2,81,40,8.05,scattered clouds
120,Puerto Madryn,AR,2021-04-25 14:08:46,-42.7692,-65.0385,60.3,55,14,20.04,few clouds
121,Mahebourg,MU,2021-04-25 14:08:47,-20.4081,57.7,78.8,78,75,16.11,light rain
122,Vytegra,RU,2021-04-25 14:08:48,61.0064,36.4481,44.22,83,100,4.9,overcast clouds
123,Geraldton,AU,2021-04-25 14:08:48,-28.7667,114.6,66.2,82,1,5.75,clear sky
124,Nakhon Phanom,TH,2021-04-25 14:08:49,17.3333,104.4167,84.2,74,40,1.14,scattered clouds
125,Tutoia,BR,2021-04-25 14:08:49,-2.7619,-42.2744,87.8,70,20,10.36,few clouds
126,Beloha,MG,2021-04-25 14:08:50,-25.1667,45.05,81.57,55,80,10.09,broken clouds
127,Torbay,CA,2021-04-25 14:05:29,47.6666,-52.7314,50.0,49,20,18.41,few clouds
128,Yulara,AU,2021-04-25 14:08:51,-25.2406,130.9889,64.4,34,0,6.91,clear sky
129,Yellowknife,CA,2021-04-25 14:08:52,62.456,-114.3525,-0.4,71,75,2.3,broken clouds
130,Raymond,US,2021-04-25 14:08:52,43.9015,-70.4703,55.99,61,100,1.01,overcast clouds
131,Batagay,RU,2021-04-25 14:08:53,67.6333,134.6333,20.43,96,100,4.12,overcast clouds
132,Krasnorechenskiy,RU,2021-04-25 14:08:53,44.6265,135.3532,27.28,57,0,3.87,clear sky
133,Coromandel,BR,2021-04-25 14:08:54,-18.4733,-47.2003,81.73,28,43,5.97,scattered clouds
134,Ancud,CL,2021-04-25 14:08:54,-41.8697,-73.8203,54.0,94,90,1.48,light intensity drizzle
135,Guerrero Negro,MX,2021-04-25 14:04:04,27.9769,-114.0611,57.63,83,72,11.32,broken clouds
136,Isangel,VU,2021-04-25 14:08:55,-19.55,169.2667,76.98,79,100,8.5,overcast clouds
137,Halifax,CA,2021-04-25 14:07:40,44.6453,-63.5724,62.01,81,22,5.75,few clouds
138,Santiago,CL,2021-04-25 14:06:21,-33.4569,-70.6483,64.0,48,0,2.3,clear sky
139,Gundorovskiy,RU,2021-04-25 14:08:56,46.7805,41.8968,54.21,44,100,4.81,overcast clouds
140,Dafeng,CN,2021-04-25 14:08:56,23.4517,108.5881,69.12,89,100,5.1,overcast clouds
141,Kidal,ML,2021-04-25 14:08:56,18.4411,1.4078,105.28,3,15,6.58,few clouds
142,Bethel,US,2021-04-25 14:08:52,41.3712,-73.414,48.99,94,100,5.28,light rain
143,Marin,US,2021-04-25 14:08:57,38.0666,-122.7344,48.0,94,100,1.01,overcast clouds
144,Carnarvon,AU,2021-04-25 14:08:57,-24.8667,113.6333,68.0,83,2,4.61,clear sky
145,Coquimbo,CL,2021-04-25 14:08:58,-29.9533,-71.3436,59.0,77,75,2.3,broken clouds
146,Gerash,IR,2021-04-25 14:08:58,27.6652,54.1371,93.2,17,0,4.61,clear sky
147,Ponta Do Sol,PT,2021-04-25 14:08:58,32.6667,-17.1,66.0,74,23,8.99,few clouds
148,Mehamn,NO,2021-04-25 14:08:59,71.0357,27.8492,32.58,64,40,9.1,scattered clouds
149,Korla,CN,2021-04-25 14:08:59,41.7597,86.1469,57.06,25,8,8.41,clear sky
150,Cape Town,ZA,2021-04-25 14:06:04,-33.9258,18.4232,72.0,60,0,17.27,clear sky
151,Thompson,CA,2021-04-25 14:09:00,55.7435,-97.8558,23.0,63,75,6.91,broken clouds
152,Zhob,PK,2021-04-25 14:09:00,31.3411,69.4481,81.86,12,1,8.1,clear sky
153,Kumba,CM,2021-04-25 14:09:01,4.6363,9.4469,92.34,43,54,3.76,broken clouds
154,Tuatapere,NZ,2021-04-25 14:09:01,-46.1333,167.6833,41.0,83,66,8.01,broken clouds
155,Cayenne,GF,2021-04-25 14:09:01,4.9333,-52.3333,84.2,79,75,10.36,broken clouds
156,Hobyo,SO,2021-04-25 14:09:02,5.3505,48.5268,85.82,60,72,11.18,broken clouds
157,Maraa,BR,2021-04-25 14:09:02,-1.8333,-65.3667,85.05,68,82,4.74,light rain
158,San Juan Evangelista,MX,2021-04-25 14:09:02,17.9,-95.1333,82.4,89,75,11.5,broken clouds
159,Xichang,CN,2021-04-25 14:09:03,27.8964,102.2634,64.83,49,36,7.07,scattered clouds
160,Bredasdorp,ZA,2021-04-25 14:09:03,-34.5322,20.0403,64.4,72,100,1.14,overcast clouds
161,Katherine,AU,2021-04-25 14:09:04,-14.4667,132.2667,73.4,73,100,3.44,overcast clouds
162,Saint-Pierre,RE,2021-04-25 14:06:50,-21.3393,55.4781,80.6,69,40,26.46,scattered clouds
163,Fortuna,US,2021-04-25 14:09:04,40.5982,-124.1573,46.0,93,90,8.05,light rain
